"","sg","nom","Agriculture","Transformation","Emballage","Transport","Supermarché et distribution","Consommation","Total"
"120","légumes","Épinard, jeunes pousses pour salades, cru",0.11750866,0,0,0.22561858,0.038235667,0.0099362451,0.3912991521
"121","légumes","Épinard, purée",0.13726516,0,0.23106911,0.27509253,0.04469807,0.030676499,0.718801369
"122","légumes","Épinard, surgelé, cru",0.10619092,0.078414562,0.26232822,0.21181711,0.068654975,0.02525183,0.752657617
"123","légumes","Épinard, surgelé, cuit",0.12404459,0.091598248,0.30643295,0.24742951,0.0801978,0.1240069,0.973709998
"124","légumes","Fenouil, bouilli/cuit à l'eau",0.57003928,0,0.28002043,0.45321373,0.021237259,0.19993027,1.524440969
"125","légumes","Fenouil, cru",0.48799384,0,0,0.37600339,0.018180592,0.080351049,0.962528871
"126","fruits","Figue de Barbarie, pulpe et graines, crue",0.076599513,0,0,0.24960251,0.005940152,0.032140419,0.364282594
"127","fruits","Figue, crue",0.21796035,0,0,0.29964738,0.015591118,0.080351049,0.613549897
"128","fruits","Figue, sèche",0.61579464,0,0.28118162,0.161377,0.020096608,0,1.078449868
"129","légumes","Fondue de poireau",1.5827568,0.26374052,0.23187237,0.28550405,0.047210041,0.099715795,2.510799576
"130","fruits","Fraise de saison, crue",0.22238959,0,0,0.23917279,0.0055671528,0.0099362451,0.4770657779
"131","fruits","Fraise hors saison, crue",0.26544342,0,0,0.2677124,0.0055671528,0.0099362451,0.5486592179
"132","fruits","Fraise, crue",0.23407382,0,0,0.24691311,0.0055671528,0.0099362451,0.4964903279
"133","fruits","Framboise, crue",1.0250766,0,0,0.43445757,0.0055671528,0.0099362451,1.4750375679
"134","fruits","Framboise, surgelée, crue",1.0241541,0.0063264555,0.28118162,0.43798907,0.15226383,0.02525183,1.9271669055
"135","fruits","Fruit de la passion ou maracudja, pulpe et pépins, cru",0.52613809,0,0,0.27356253,0.012765701,0.080351049,0.89281737
"136","fruits","Fruits rouges, crus (framboises, fraises, groseilles, cassis)",1.0250766,0,0,0.43445757,0.0055671528,0.0099362451,1.4750375679
"137","légumes","Gombo, fruit, cuit",0.56958361,0,0.28002043,0.52714762,0.026594565,0.19993027,1.603276495
"138","fruits","Goyave, pulpe, crue",0.52582241,0,0,0.49831248,0.015591118,0.080351049,1.120077057
"139","fruits","Grenade, pulpe et pépins, crue",0.12490847,0,0,0.27356253,0.0067501727,0.080351049,0.4855722217
"140","fruits","Griotte, crue",0.60236424,0,0,0.27356253,0.012765701,0.080351049,0.96904352
"141","fruits","Groseille à maquereau, crue",0.91727249,0,0,0.35093608,0.013720184,0.032140419,1.314069173
"142","fruits","Groseille, crue",1.4268828,0,0,0.27356253,0.0067501727,0.080351049,1.7875465517
"143","légumes","Haricot beurre, appertisé, égoutté",0.12031043,0.27195812,0.31245828,0.38469045,0.028777154,0.011022624,1.129217058
"144","légumes","Haricot beurre, cru",0.12895229,0,0,0.27356253,0.022766824,0.080351049,0.505632693
"145","légumes","Haricot beurre, surgelé, cru",0.11663735,0.12037794,0.26232822,0.21781585,0.068654975,0.02525183,0.811066165
"146","légumes","Haricot de Lima, cru",0.53171737,0,0,0.21885003,0.018213459,0,0.768780859
"147","légumes","Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté",0.60588818,0.28062765,0.32449301,0.39819716,0.029883968,0,1.639089968
"148","légumes","Haricot mungo germé ou pousse de ""soja"", cru",0.53171737,0,0,0.21885003,0.018213459,0,0.768780859
"149","légumes","Haricot plat, cru",0.12895229,0,0,0.27356253,0.022766824,0.080351049,0.505632693
"150","légumes","Haricot vert importé par avion, cru",0.11347802,0,0,6.296047,0.020034805,0.038814117,6.468373942
"151","légumes","Haricot vert, appertisé, égoutté",0.12099958,0.28345838,0.27354838,0.35553257,0.029963177,0.011022624,1.074524711
"152","légumes","Haricot vert, cru",0.11347802,0,0,0.24073503,0.020034805,0.038814117,0.413061972
"153","légumes","Haricot vert, cuit",0.13390406,0,0.2604107,0.29653096,0.02364107,0.13820644,0.85269323
"154","légumes","Haricot vert, surgelé, cru",0.11663735,0.12037794,0.051794996,0.18299686,0.17129048,0.02525183,0.668349456
"155","légumes","Haricot vert, surgelé, cuit",0.13624735,0.14061685,0.057677097,0.21375877,0.20008921,0.11956668,0.867955957
"156","légumes","Haricots verts, purée",0.13390406,0,0.2604107,0.29653096,0.02364107,0.043163044,0.757649834
"157","légumes","Julienne ou brunoise de légumes, surgelée, crue",0.12970975,0.10612947,0.18031389,0.22035986,0.065218401,0.02525183,0.726983201
"158","fruits","Kaki, pulpe, cru",0.48760375,0,0,0.32572638,0.0067501727,0.080351049,0.9004313517
"159","fruits","Kiwi, pulpe et graines, cru",0.4974984,0.01432555,0,0.38009761,0.0045425747,0.080351049,0.9768151837
"160","fruits","Kumquat, sans pépin, cru",0.16940304,0,0,0.27356253,0.013134063,0.080351049,0.536450682
"161","légumes","Laitue iceberg, crue",0.2599468,0,0,0.36475005,0.061814329,0.21426946,0.900780639
"162","légumes","Laitue romaine, crue",0.30023238,0,0,0.36475005,0.061814329,0.21426946,0.941066219
"163","légumes","Laitue, crue",0.30023238,0,0,0.36475005,0.061814329,0.21426946,0.941066219
"164","légumes","Légumes (3-4 sortes en mélange), purée",0.30597203,0.17774317,0.19123494,0.23310445,0.038936116,0.027843061,0.974833767
"165","légumes","Légumes pour couscous, cuits",0.21865681,0.16605807,0.18549789,0.23961241,0.037768033,0.017696322,0.865289535
"166","légumes","Légumes pour couscous, surgelés, crus",0.20876259,0.092645107,0.18031389,0.2308457,0.065218401,0.02525183,0.803037518
"167","légumes","Légumes pour potages, surgelés, crus",0.967774,0.10120831,0.18031389,0.20511145,0.065218401,0.02525183,1.544877881
"168","légumes","Légumes pour ratatouille, surgelés",0.20876259,0.092645107,0.18031389,0.2308457,0.065218401,0.036274454,0.814060142
"169","légumes","Légumes, mélange surgelé, crus",0.967774,0.10120831,0.18031389,0.20511145,0.065218401,0.02525183,1.544877881
"170","fruits","Litchi, pulpe, cru",0.1635442,0,0,0.27356253,0.015591118,0.080351049,0.533048897
"171","légumes","Macédoine de légumes, appertisée, égouttée",0.10098729,0.20301799,0.25915577,0.31370035,0.023875551,0,0.900736951
"172","légumes","Macédoine de légumes, surgelée",0.1952989,0.091213393,0.18031389,0.20321261,0.065218401,0.036274454,0.771531648
"173","fruits","Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté",0.16850338,0.32398231,0.28322856,0.23215103,0.026089178,0,1.033954458
"174","fruits","Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté",0.10212326,0.19635292,0.17146364,0.14069759,0.015811623,0,0.626449033
"175","fruits","Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté",0.14689036,0.46808882,0.28322856,0.22507848,0.026089178,0,1.149375398
"176","fruits","Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté",0.10212326,0.19635292,0.17146364,0.14069759,0.015811623,0,0.626449033
"177","légumes","Mâche, crue",0.30023238,0,0,0.36475005,0.061814329,0.21426946,0.941066219
"178","légumes","Maïs doux, appertisé, égoutté",0.46657947,0.11291318,0.39737102,0.32071793,0.023542496,0,1.321124096
"179","légumes","Maïs doux, en épis, cuit",0.62705002,0,0.28002043,0.3335497,0.012517599,0.19993027,1.453068019
"180","légumes","Maïs doux, en épis, surgelé, cru",0.3884278,0.072692283,0.26232822,0.19184693,0.068654975,0.02525183,1.009202038
"181","légumes","Maïs doux, surgelé, cru",0.3884278,0.072692283,0.26232822,0.19184693,0.068654975,0.02525183,1.009202038
"182","fruits","Mandarine, pulpe, crue",0.0046518993,0,0,0.32460129,0.013134063,0.080351049,0.4227383013
"183","fruits","Mangue importée par avion, pulpe, crue",0.1635442,0,0,10.382059,0.015591118,0.080351049,10.641545367
"184","fruits","Mangue importée par bateau, pulpe, crue",0.16370774,0,0,0.43034527,0.015591118,0.080351049,0.689995177
"185","fruits","Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru",0.31889524,0,0,0.38120935,0.017020934,0.21426946,0.931394984
"186","fruits","Melon miel ou melon honeydew, pulpe, cru",0.31889524,0,0,0.38120935,0.017020934,0.21426946,0.931394984
"187","légumes","Mesclun ou salade, mélange de jeunes pousses",0.30023238,0,0,0.36475005,0.20793674,0.22539229,1.09831146
"188","fruits","Mûre (de ronce), crue",0.68996367,0,0,0.22561858,0.012858654,0.0099362451,0.9383771491
"189","fruits","Mûre (de ronce), surgelée, crue",0.6893427,0.0063264555,0.28118162,0.22933804,0.15226383,0.02525183,1.3837044755
"190","fruits","Mûre noire (du mûrier), crue",0.83658095,0,0,0.27356253,0.015591118,0.080351049,1.206085647
"191","fruits","Myrtille, crue",0.63308777,0,0,0.22561858,0.012858654,0.0099362451,0.8815012491
"192","fruits","Myrtille, surgelée, crue",0.63251799,0.0063264555,0.28118162,0.22933804,0.15226383,0.02525183,1.3268797655
"193","légumes","Navet, cuit",0.095218849,0,0.2604107,0.29653096,0.012687019,0.13820644,0.803053968
"194","légumes","Navet, pelé, cru",0.080693939,0,0,0.24073503,0.010751711,0.032140419,0.364321099
"195","légumes","Navet, surgelé, cru",0.072987668,0.091766547,0.26232822,0.2137258,0.068654975,0.02525183,0.73471504
"196","fruits","Nectarine ou brugnon, pulpe et peau, crue",0.27069047,0,0,0.27356253,0.012765701,0.080351049,0.63736975
"197","légumes","Oignon, cru",0.10002787,0,0,0.24635495,0.011012889,0.032140419,0.389536128
"198","légumes","Oignon, cuit",0.11803288,0,0.2604107,0.30316247,0.012995209,0.13820644,0.832807699
"199","légumes","Oignon, séché",1.0501059,2.0087255,0.35147703,0.18202238,0.025120484,0.080351049,3.697802343
"200","légumes","Oignon, surgelé, cru",0.13478079,0.091766547,0.26232822,0.33588496,0.068654975,0.02525183,0.918667322
"201","fruits","Orange, pulpe, crue",0.19625882,0,0,0.344695,0.01265945,0.080351049,0.633964319
"202","légumes","Oseille, crue",0.22517429,0,0,0.27356253,0.046360746,0.080351049,0.625448615
"203","fruits","Pamplemousse chinois, pulpe, cru",0.40287594,0,0,0.27356253,0.013134063,0.080351049,0.769923582
"204","légumes","Panais, cru",0.091697658,0,0,0.27356253,0.012217853,0.080351049,0.45782909
"205","légumes","Panais, cuit",0.1071146,0,0.28002043,0.3335497,0.014272017,0.19993027,0.934887017
"206","fruits","Papaye, pulpe, crue",0.17342927,0,0,0.5892978,0.012765701,0.080351049,0.85584382
"207","fruits","Pastèque, pulpe, crue",0.23917143,0,0,0.31519117,0.0067501727,0.080351049,0.6414638217
"208","fruits","Pêche au sirop léger, appertisée, égouttée",0.22234996,0.41825182,0.30558313,0.24350874,0.028144689,0,1.217838339
"209","fruits","Pêche au sirop léger, appertisée, non égouttée",0.12491571,0.23497293,0.17146364,0.13680223,0.015811623,0,0.683966133
"210","fruits","Pêche, pulpe et peau, crue",0.22061455,0,0,0.28802092,0.0067501727,0.080351049,0.5957366917
"211","fruits","Pêche, sèche",3.8445173,3.1126785,0.56236325,0.30415534,0.030276704,0.32140419,8.175395284
"212","légumes","Petits pois et carottes, appertisés, égouttés",0.18435491,0.19749316,0.25915577,0.31108136,0.023875551,0.011022624,0.986983375
"213","légumes","Petits pois et carottes, surgelés, crus",0.1952989,0.22980451,0.18031389,0.20321261,0.065218401,0.02525183,0.899100141
"214","légumes","Petits pois et carottes, surgelés, cuits",0.2241428,0.22554501,0.26232822,0.20871615,0.065218401,0.036274454,1.022225035
"215","légumes","Petits pois, appertisés, égouttés",0.48501033,0.19282758,0.31415685,0.29135873,0.023542496,0.011251666,1.318147652
"216","légumes","Petits pois, crus",0.42618276,0,0,0.21885003,0.020096387,0,0.665129177
"217","légumes","Petits pois, cuits",0.49783603,0,0.22401635,0.26683976,0.023475153,0.094509533,1.106676826
"218","légumes","Petits pois, purée",0.49783603,0,0.22401635,0.26683976,0.0053527011,0.011022624,1.0050674651
"219","légumes","Petits pois, surgelés, crus",0.39760157,0.072692283,0.26232822,0.18860101,0.068654975,0.02525183,1.015129888
"220","légumes","Petits pois, surgelés, cuits",0.46444953,0.084913894,0.30643295,0.22031012,0.0801978,0.1240069,1.280311194
"221","légumes","Piment, cru",0.75605782,0,0,0.32592714,0.021283765,0.080351049,1.183619774
"222","légumes","Pissenlit, cru",0.30023238,0,0,0.36475005,0.061814329,0.21426946,0.941066219
"223","fruits","Poire au sirop léger, appertisée, non égouttée",0.043371946,0.12750853,0.17146364,0.13107619,0.015811623,0,0.489231929
"224","fruits","Poire, pulpe et peau, crue",0.076599513,0,0,0.24960251,0.005940152,0.032140419,0.364282594
"225","fruits","Poire, pulpe, crue",0.076599513,0,0,0.24960251,0.005940152,0.032140419,0.364282594
"226","légumes","Poireau, cru",0.40243746,0,0,0.27356253,0.012514646,0.080351049,0.768865685
"227","légumes","Poireau, cuit",0.47009848,0,0.28002043,0.3335497,0.014618709,0.19993027,1.298217589
"228","légumes","Poireau, surgelé, cru",0.36400468,0.12037794,0.26232822,0.21781585,0.068654975,0.02525183,1.058433495
"229","légumes","Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau",0.62229504,0,0.28002043,0.3335497,0.029343942,0.19993027,1.465139382
"230","légumes","Pois mange-tout ou pois gourmand, cru",0.53272845,0,0,0.27356253,0.025120484,0.080351049,0.911762513
"231","légumes","Pois mange-tout ou pois gourmands, cuits",0.62229504,0,0.28002043,0.3335497,0.029343942,0.19993027,1.465139382
"232","légumes","Poivron jaune, cru",0.75605782,0,0,0.32592714,0.021283765,0.080351049,1.183619774
"233","légumes","Poivron rouge, appertisé, égoutté",0.51443213,0.17886552,0.24204822,0.3325814,0.022294389,0.011022624,1.301244283
"234","légumes","Poivron rouge, cru",0.75605782,0,0,0.32592714,0.021283765,0.080351049,1.183619774
"235","légumes","Poivron rouge, cuit",0.88317233,0,0.28002043,0.39471826,0.024862162,0.19993027,1.782703452
"236","légumes","Poivron vert, cru",0.75605782,0,0,0.32592714,0.021283765,0.080351049,1.183619774
"237","légumes","Poivron vert, cuit",0.88317233,0,0.28002043,0.39471826,0.024862162,0.19993027,1.782703452
"238","légumes","Poivron, vert, jaune ou rouge, cru",0.75605782,0,0,0.32592714,0.021283765,0.080351049,1.183619774
"239","fruits","Pomelo (dit Pamplemousse) jaune, pulpe, cru",0.2576576,0,0,0.46262808,0.015004354,0.13756958,0.872859614
"240","fruits","Pomelo (dit Pamplemousse) rose, pulpe, cru",0.2576576,0,0,0.46262808,0.015004354,0.13756958,0.872859614
"241","fruits","Pomelo (dit Pamplemousse), pulpe, cru",0.2576576,0,0,0.46262808,0.015004354,0.13756958,0.872859614
"242","fruits","Pomme Canada, pulpe, crue",0.10991945,0,0,0.24073503,0.013720184,0.032140419,0.396515083
"243","fruits","Pomme Golden, pulpe et peau, crue",0.12970495,0,0,0.28406734,0.016189817,0.032140419,0.462102526
"244","fruits","Pomme, pulpe et peau, crue",0.10991945,0,0,0.24073503,0.013720184,0.032140419,0.396515083
"245","fruits","Pomme, pulpe, bouillie/cuite à l'eau",0.1203473,0,0.33121976,0.27508945,0.01502179,0.10587545,0.84755375
"246","fruits","Pomme, pulpe, crue",0.10991945,0,0,0.24073503,0.013720184,0.032140419,0.396515083
"247","fruits","Pomme, pulpe, rôtie/cuite au four",0.10991945,0,0.31040576,0.25126677,0.013720184,0.118031,0.803343164
"248","fruits","Pomme, sèche",0.48109076,0.73786634,0.28983447,0.14485623,0.020718152,0.0099362451,1.6843021971
"249","légumes","Potimarron, pulpe, cru",0.2224172,0,0,0.27356253,0.018180592,0.080351049,0.594511371
"250","légumes","Potiron, appertisé, égoutté",0.20462479,0.24484304,0.27462971,0.36438296,0.025298597,0.011022624,1.124801721
"251","légumes","Potiron, cru",0.2224172,0,0,0.29790004,0.018180592,0.080351049,0.618848881
"252","légumes","Potiron, cuit",0.25981177,0,0.28002043,0.36197902,0.021237259,0.19993027,1.122978749
"253","légumes","Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)",0.967774,0.10120831,0.18031389,0.20511145,0.068654975,0.02525183,1.548314455
"254","fruits","Prune Reine-Claude, crue",0.60236424,0,0,0.27356253,0.015591118,0.080351049,0.971868937
"255","fruits","Prune, crue",0.60236424,0,0,0.27356253,0.0067501727,0.080351049,0.9630279917
"256","fruits","Pruneau, sec",2.4142759,0,0.28118162,0.14051054,0.015138352,0,2.851106412
"257","fruits","Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""",0.087928377,0.16500469,0.27727707,0.22552098,0.037768033,0.0066736979,0.8001728479
"258","légumes","Radis noir, cru",0.35621594,0,0,0.22561858,0.01007658,0.0099362451,0.6018473451
"259","légumes","Radis rouge, cru",0.35621594,0,0,0.22561858,0.01007658,0.0099362451,0.6018473451
"260","fruits","Raisin blanc, à gros grain (type Italia ou Dattier), cru",0.1487964,0,0,0.26207109,0.013720184,0.032140419,0.456728093
"261","fruits","Raisin noir, cru",0.1487964,0,0,0.26207109,0.013720184,0.032140419,0.456728093
"262","fruits","Raisin, cru",0.1487964,0,0,0.26207109,0.013720184,0.032140419,0.456728093
"263","fruits","Raisin, sec",0.58301134,0,0.28118162,0.15990696,0.015138352,0,1.039238272
"264","fruits","Rhubarbe, tige, crue",0.35608494,0,0,0.27356253,0.0067501727,0.080351049,0.7167486917
"265","fruits","Rhubarbe, tige, cuite, sucrée",0.41598698,0,0.76735023,0.4588929,0.018213917,0.10587545,1.766319477
"266","légumes","Roquette, crue",0.30023238,0,0,0.36475005,0.061814329,0.21426946,0.941066219
"267","légumes","Rutabaga, cru",0.091697658,0,0,0.27356253,0.012217853,0.080351049,0.45782909
"268","légumes","Rutabaga, cuit",0.1071146,0,0.28002043,0.3335497,0.014272017,0.20967494,0.944631687
"269","fruits","Salade de fruits, crue",0.16218563,0.30667872,0.23982817,0.30092186,0.009481273,0.080351049,1.099446702
"270","légumes","Salade ou chicorée frisée, crue",0.22517429,0,0,0.27356253,0.046360746,0.080351049,0.625448615
"271","légumes","Salade verte, crue, sans assaisonnement",0.30023238,0,0,0.36475005,0.061814329,0.21426946,0.941066219
"272","légumes","Salicorne (Salicornia sp.), fraîche",0.6564735,0,0,0.27356253,0.15595255,0.088693171,1.174681751
"273","légumes","Salsifis noir, cru",0.091697658,0,0,0.27356253,0.012217853,0.080351049,0.45782909
"274","légumes","Salsifis, appertisé, égoutté",0.085859693,0.35172544,0.25915577,0.32493077,0.023875551,0.011022624,1.056569848
"275","légumes","Salsifis, cuit",0.1071146,0,0.28002043,0.3335497,0.014272017,0.19993027,0.934887017
"276","légumes","Salsifis, surgelé, cru",0.082940532,0.047685658,0.26232822,0.21781585,0.068654975,0.02525183,0.704677065
"277","légumes","Scarole, crue",0.30023238,0,0,0.36475005,0.20793674,0.22539229,1.09831146
"278","fruits","Sureau, baie, crue",0.50299339,0,0,0.27356253,0.015591118,0.080351049,0.872498087
"279","fruits","Tamarin, fruit immature, pulpe, cru",0.12895229,0,0,0.27356253,0.0067501727,0.080351049,0.4896160417
"280","légumes","Tétragone cornue, cuite",0.13726516,0,0.23106911,0.27509253,0.044664154,0.11559308,0.803684034
"281","légumes","Tomate cerise, crue",0.21205178,0,0,0.27356253,0.015591118,0.080351049,0.581556477
"282","légumes","Tomate de saison, crue",0.21205178,0,0,0.27356253,0.015591118,0.080351049,0.581556477
"283","légumes","Tomate hors saison, crue",1.5523147,0,0,0.30896451,0.015591118,0.080351049,1.957221377
"284","légumes","Tomate verte, crue",0.31477402,0,0,0.29267849,0.015591118,0.080351049,0.703394677
"285","légumes","Tomate, concentré, appertisé",0.98356051,1.0835601,0.17146364,0.56615533,0.015811623,0,2.820551203
"286","légumes","Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)",0.11983046,0.11987652,0.17146364,0.23189173,0.015811623,0.011022624,0.669896597
"287","légumes","Tomate, crue",0.31477402,0,0,0.29267849,0.015591118,0.080351049,0.703394677
"288","légumes","Tomate, double concentré, appertisé",1.9734871,1.0835601,0.17146364,0.89055983,0.015811623,0,4.134882293
"289","légumes","Tomate, pelée, appertisée, égouttée",0.19203599,0.19210981,0.27478147,0.37162137,0.02533914,0.20468925,1.26057703
"290","légumes","Tomate, pulpe et peau, bouillie/cuite à l'eau",0.36769635,0,0.28002043,0.35587958,0.018931462,0.20967494,1.232202762
"291","légumes","Tomate, pulpe et peau, rôtie/cuite au four",0.36769635,0,0.28002043,0.35587958,0.018931462,0.1894995,1.212027322
"292","légumes","Tomate, pulpe, appertisée",0.14978807,0.14984565,0.21432954,0.28986467,0.019764529,0.091373673,0.914966132
"293","légumes","Tomate, purée, appertisée",0.11983046,0.11987652,0.17146364,0.23189173,0.015811623,0.011022624,0.669896597
"294","légumes","Tomate, séchée",3.1826038,3.2909945,0.65696721,0.25546831,0.025120484,0.080351049,7.491505353
"295","légumes","Tomate, séchée, à l'huile",3.1826038,3.2909945,0.65696721,0.25546831,0.025120484,0.080351049,7.491505353
"296","glaces","Barre glacée chocolatée",1.0539408,0.21512698,0.18042667,0.19674195,0.065229756,0.02525183,1.736717986
"297","glaces","Glace au yaourt",1.0539408,0.21512698,0.18042667,0.19674195,0.065229756,0.02525183,1.736717986
"298","glaces","Glace ou crème glacée, bâtonnet, enrobé de chocolat",1.0539408,0.21512698,0.18042667,0.19674195,0.065229756,0.02525183,1.736717986
"299","glaces","Glace ou crème glacée, cône (taille standard)",1.0539408,0.21512698,0.18042667,0.19674195,0.065229756,0.02525183,1.736717986
"300","glaces","Glace ou crème glacée, en bac",1.0539408,0.21512698,0.18042667,0.19674195,0.065229756,0.02525183,1.736717986
"301","glaces","Glace ou crème glacée, gourmande, en bac",1.0539408,0.21512698,0.18042667,0.19674195,0.065229756,0.02525183,1.736717986
"302","glaces","Glace ou crème glacée, gourmande, en pot",1.0539408,0.21512698,0.18042667,0.19674195,0.065229756,0.02525183,1.736717986
"303","glaces","Glace ou crème glacée, mini cône",1.0539408,0.21512698,0.18042667,0.19674195,0.065229756,0.02525183,1.736717986
"304","glaces","Glace ou crème glacée, petit pot enfant",1.0539408,0.21512698,0.18042667,0.19674195,0.065229756,0.02525183,1.736717986
"305","glaces","Glace ou crème glacée, pot individuel",1.0539408,0.21512698,0.18042667,0.19674195,0.065229756,0.02525183,1.736717986
"306","produits laitiers","Abondance",5.0527045,0.40542878,0.26233269,0.21100323,0.035969873,0.0066736979,5.9741127709
"307","produits laitiers","Asiago",4.9610449,0.41489404,0.26233269,0.21100323,0.035969873,0.0066736979,5.8919184309
"308","produits laitiers","Beaufort",5.1820907,0.39280843,0.26233269,0.21100323,0.035969873,0.0066736979,6.0908786209
"309","produits laitiers","Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC)",4.7393791,0.24323362,0.26233269,0.21100323,0.035969873,0.0066736979,5.4985922109
"310","produits laitiers","Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré",1.0334996,0.16337138,0.1838255,0.23344159,0.037768033,0.0066736979,1.6585798009
"311","produits laitiers","Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré",1.0334996,0.16337138,0.1838255,0.23344159,0.037768033,0.0066736979,1.6585798009
"312","produits laitiers","Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei",1.0334996,0.16337138,0.1838255,0.23344159,0.037768033,0.0066736979,1.6585798009
"313","produits laitiers","Brie de Meaux",4.2658486,0.27006086,0.26233269,0.21100323,0.035969873,0.0066736979,5.0518889509
"314","produits laitiers","Brie de Melun",4.3221506,0.26693101,0.26233269,0.21100323,0.035969873,0.0066736979,5.1050611009
"315","produits laitiers","Brie, sans précision",4.4337695,0.26067132,0.26233269,0.21100323,0.035969873,0.0066736979,5.2104203109
"316","produits laitiers","Camembert au lait cru",4.3992089,0.26245981,0.26233269,0.21100323,0.035969873,0.0066736979,5.1776482009
"317","produits laitiers","Camembert, sans précision",4.3992089,0.26245981,0.26233269,0.21100323,0.035969873,0.0066736979,5.1776482009
"318","produits laitiers","Cantal entre-deux",4.9064476,0.42120422,0.26233269,0.21100323,0.035969873,0.0066736979,5.8436313109
"319","produits laitiers","Cantal, Salers ou Laguiole",4.988587,0.4133165,0.26233269,0.21100323,0.035969873,0.0066736979,5.9178829909
"320","produits laitiers","Carré de l'Est",4.2070668,0.2731907,0.26233269,0.21100323,0.035969873,0.0066736979,4.9962369909
"321","produits laitiers","Chabichou (fromage de chèvre)",6.0103604,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,6.8201604109
"322","produits laitiers","Chaource",4.1112338,0.29286401,0.26233269,0.21100323,0.035969873,0.0066736979,4.9200773009
"323","produits laitiers","Cheddar",5.2832706,0.38413194,0.26233269,0.21100323,0.035969873,0.0066736979,6.1833820309
"324","produits laitiers","Cheesecake ou Gâteau au fromage frais, rayon frais",2.1700349,0.24830356,0.18552053,0.20473101,0.037768033,0.0066736979,2.8530317309
"325","produits laitiers","Chevrot (fromage de chèvre)",5.4239838,0.29382052,0.26233269,0.21100323,0.035969873,0.0066736979,6.2337838109
"326","produits laitiers","Clafoutis aux fruits, rayon frais",1.0460149,0.27842285,0.18551914,0.22901259,0.037768033,0.0066736979,1.7834112109
"327","produits laitiers","Comté",5.3246724,0.37939931,0.26233269,0.21100323,0.035969873,0.0066736979,6.2200512009
"328","produits laitiers","Coulommiers",4.6447527,0.24815195,0.26233269,0.21100323,0.035969873,0.0066736979,5.4088841409
"329","produits laitiers","Crème aux œufs (petit pot de crème chocolat, vanille, etc.), rayon frais",2.9048446,0.22451191,0.18549789,0.24302297,0.037768033,0.0066736979,3.6023191009
"330","produits laitiers","Crème brûlée, rayon frais",1.2395218,0.23136316,0.18549789,0.20028543,0.037768033,0.0066736979,1.9011100109
"331","produits laitiers","Crème caramel, rayon frais",1.1555723,0.18733905,0.18549789,0.21095,0.037768033,0.0066736979,1.7838009709
"332","produits laitiers","Crème chantilly, sous pression, UHT",1.2441577,0.13986928,0.18768086,0.10751897,0.017515056,0,1.696741866
"333","produits laitiers","Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais",1.9926009,0.12902031,0.18031662,0.18373556,0.035969873,0.0066736979,2.5283169609
"334","produits laitiers","Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT",1.9926009,0.12902031,0.18031662,0.10226988,0.015735385,0,2.419943095
"335","produits laitiers","Crème de lait, 30% MG, épaisse, rayon frais",3.0996014,0.12902031,0.18031662,0.18373556,0.036552072,0.0066736979,3.6358996599
"336","produits laitiers","Crème de lait, 30% MG, semi-épaisse, UHT",3.0996014,0.12902031,0.18031662,0.10226988,0.015735385,0,3.526943595
"337","produits laitiers","Crème dessert à la vanille, appertisée",0.96339161,0.19337017,0.1795842,0.12653403,0.017262405,0.0066736979,1.4868161129
"338","produits laitiers","Crème dessert à la vanille, rayon frais",0.96339161,0.19337017,0.18549789,0.20571318,0.037768033,0.0066736979,1.5924145809
"339","produits laitiers","Crème dessert au café, rayon frais",0.96339161,0.19337017,0.18549789,0.20571318,0.037768033,0.0066736979,1.5924145809
"340","produits laitiers","Crème dessert au caramel, rayon frais",0.96339161,0.19337017,0.18549789,0.20571318,0.037768033,0.0066736979,1.5924145809
"341","produits laitiers","Crème dessert au chocolat, appertisée",2.7571102,0.1932616,0.1795842,0.15192062,0.017262405,0.0066736979,3.3058127229
"342","produits laitiers","Crème dessert au chocolat, rayon frais",2.7571102,0.1932616,0.18549789,0.23109977,0.037768033,0.0066736979,3.4114111909
"343","produits laitiers","Crème dessert, allégée en MG, rayon frais",0.96339161,0.19337017,0.18549789,0.20571318,0.037768033,0.0066736979,1.5924145809
"344","produits laitiers","Crème pâtissière",0.83600613,0.18606645,0.10404417,0.21631575,0.037768033,0.0066736979,1.3868742309
