"","sg","nom","Agriculture","Transformation","Emballage","Transport","Supermarché et distribution","Consommation","Total"
"1302","viandes","Veau, épaule, grillée/poêlée",17.804647,0.060540783,0.34762969,0.25227301,0.047187537,0.11950048,18.6317785
"1303","viandes","Veau, escalope, crue",17.605753,0.10803934,0.27530877,0.20167774,0.037353873,0.0066736979,18.2348064209
"1304","viandes","Veau, escalope, cuite",22.240588,0.13648144,0.34778569,0.25477079,0.047187537,0.094321173,23.12113463
"1305","viandes","Veau, filet, cru",17.605753,0.10803934,0.27530877,0.20167774,0.037353873,0.0066736979,18.2348064209
"1306","viandes","Veau, filet, rôti/cuit au four",22.240588,0.13648144,0.34778569,0.25477079,0.047187537,0.094321173,23.12113463
"1307","viandes","Veau, jarret, braisé ou bouilli",22.240588,0.074044424,0.43473212,0.31438445,0.058984421,0.34380886,23.466542275
"1308","viandes","Veau, jarret, cru",17.605753,0.05861391,0.34413596,0.24886819,0.046692342,0.088693171,18.392756573
"1309","viandes","Veau, noix, crue",17.605753,0.10803934,0.27530877,0.20167774,0.037353873,0.0066736979,18.2348064209
"1310","viandes","Veau, noix, grillée/poêlée",22.252765,0.13778669,0.34762969,0.25553624,0.047187537,0.11950048,23.160405637
"1311","viandes","Veau, noix, rôtie",22.240588,0.13648144,0.34778569,0.25477079,0.047187537,0.094321173,23.12113463
"1312","viandes","Veau, pied, cru",17.605753,0.05861391,0.34413596,0.24886819,0.046692342,0.088693171,18.392756573
"1313","viandes","Veau, poitrine, crue",14.084602,0.046891128,0.27530877,0.19909455,0.037353873,0.0066736979,14.6499240189
"1314","viandes","Veau, rôti, cru",22.007191,0.13504918,0.34413596,0.25209717,0.046692342,0.088693171,22.873858823
"1315","viandes","Veau, rôti, cuit",27.800735,0.1706018,0.43473212,0.31846349,0.058984421,0.19793284,28.981449671
"1316","viandes","Veau, steak haché 15% MG, cru",21.599223,0.24383874,0.27530877,0.20460743,0.037353873,0.0066736979,22.3670055109
"1317","viandes","Veau, steak haché 20% MG, cru",21.599223,0.24383874,0.27530877,0.20460743,0.037353873,0.0066736979,22.3670055109
"1318","viandes","Veau, tête, bouillie/cuite à l'eau",22.240588,0.074044424,0.43473212,0.31438445,0.058984421,0.34380886,23.466542275
"1319","poisson","Vivaneau, cru",3.1312417,0,0.27530877,0.78496269,0.037353873,0.0066736979,4.2355407309
"1320","poisson","Vivaneau, cuit",3.8234277,0,0.22504651,0.95848499,0.045611246,0.094039551,5.146609997
